Key (Decoded),Value (Decoded)
wacom reserves the right to charge a reasonable license or subscription fee for this feature in the future.,ワコムは、将来、この機能に対して合理的なライセンス料または利用料を請求する権利を留保します。
One or more of your Wacom devices are no longer supported by this driver.,1つ以上のワコムデバイスがこのドライバでサポートされなくなりました。
"Turning your device's touch slider to ""Off"" and choosing ""Selective""","Turning your device's touch slider to ""Off"" and choosing ""Selective"""
Tip sensitivity,ペン先感度
Tablet S/N:,タブレットS/N：
Mapping setup,マッピング設定
Tablet functions,タブレットの機能
Buttons:,ボタン：
"Adjust pen tip sensitivity and feel, customize the pen button and other pen settings.",ペン先の感度と感触を調節し、ペンのスイッチやその他の設定をカスタマイズします。
3001:18:00,%.1f mm
To import an older backup file:,古いバックアップファイルをインポートする：
4001:94,Bluetoothでデバイスを接続する方法
Pressure:,筆圧:
Do you want to delete the selected preset settings group: %s?,選択したプリセットの設定グループを削除しますか: %s？
Pen S/N:,ペン S/N:
Four fingers,4本指
Double tap,ダブルタップ
Maximum,最大
Step 1 - Press the Tablet button assigned to Power & Menu to open the built-in menu.,ステップ1 - 電源とメニューに割り当てられたペンタブレットボタンを押して、内蔵メニューを開きます。
Overwriting this backup will replace its settings with the settings you are currently using. This process is not reversible.,このバックアップを上書きすると、その設定が現在使用している設定に置き換わります。この処理は元に戻せません。
Customize the actions performed by the Touch ring.,タッチホイールが行うアクションをカスタマイズできます。
Mode toggle...,モード切り替え…
Display firmware:,ディスプレイファームウェア:
Brush size,ブラシ サイズ
"If your Wacom device is plugged in, check the connections or try using a different port.",ワコムデバイスが接続されている場合、接続状態を確認するか、別のポートを試してみてください。
Step 1 - Press the middle button on the back of the device to open the built-in display settings menus.,ステップ1 - デバイス背面の真ん中のボタンを押し、内蔵のディスプレイ設定メニューを開きます。
3001:20:00,オン
4001:81,ペン先の位置調整
"Assign ""Dial toggle"" to an ExpressKey to toggle between the settings of the nearest Dial without opening Wacom Center.",「ダイヤル切り替え」をExpressKeyに割り当てると、ワコムセンターを開くことなく、最寄りのダイヤルの設定を切り替えることができます。
Pen tool,ペンツール
Document view,ドキュメントを表示
Use the Touch keys to access commonly used functions and features.,タッチキーは、よく使う機能をすぐ利用できます。
Configure on the Mapping page,マッピングページで設定する
Copy,コピー
Video tutorials on how to use On-screen shortcuts.,オンスクリーンショートカットの使い方を紹介する動画。
1. Move the USB/Bluetooth selector on the top of the tablet to the Bluetooth channel you would like to use ( . or : ).,1. ペンタブレットの上部にある USB/Bluetooth セレクタを、使用したい Bluetooth チャンネルに合わせます。
Inset Area limits the active area on your pen display so shorter pen strokes can be used when working on other displays.,小さな領域は、液晶ペンタブレットの読取可能範囲を制限するので、他のディスプレイで作業するときに、より短いペンストロークを使用できます。
"there is no wacom bridge connection to the remote computer. make sure you are logged into a wacom bridge supported remote computer. if the issue persists, contact your wacom bridge administrator or contact support to troubleshoot your wacom bridge connection.",リモートコンピュータにWacom Bridgeが接続されていません。Wacom Bridge対応のリモートコンピュータにログインしていることを確認してください。問題が解決しない場合は、Wacom Bridgeの管理者またはサポートに連絡して、Wacom Bridge接続のトラブルシューティングを行ってください。
Show local screen cursor,ローカル画面カーソルを表示する
Mission control,Mission Control
Customize On-screen shortcuts in Wacom Center and use them to optimize your workflow. You can learn more on the On-screen shortcuts page.,ワークフローを最適化するために、ワコムセンターのオンスクリーンショートカットをカスタマイズして使用してください。 詳細については、オンスクリーンショートカットページをご参照ください。
Touch on/off,タッチ オン/オフ
4001:30:00,内蔵ディスプレイのカラーおよびその他設定をカスタマイズ
NewMenu,新しいメニュー
The content of this page can also be viewed by logging into your account at wacom.com.,このページの内容は、wacom.comでアカウントにログインして確認することもできます。
Tools,ツール
Right,右
4001:141,このデバイスを接続
"To see which Tablet button is assigned to Power & Menu, go to the ExpressKey settings.",どのペンタブレットボタンが電源とメニューに割り当てられているかを確認するには、ExpressKey設定へ移動してください。
send feedback,フィードバックを送信する
Pen Name:,ペンの名前：
Bucket tool,バケツツール
Go forward one page.,1ページ進みます。
no wacom bridge supported devices connected. check the wacom support faqs for a list of wacom bridge supported devices.,Wacom Bridge対応デバイスが接続されていません。Wacom Bridge対応デバイスの一覧は、ワコムサポートのよくあるご質問と回答よりご覧いただけます。
Precision mode,プレシジョンモード
"If your Wacom device is plugged in, check the connections or try using a different port. If you are using a wireless device, make sure it is on and paired or connected. If you need assistance, please contact Wacom Support and we can help.",ワコムデバイスが接続されている場合は、接続を確認するか、別のポートを使用してみてください。ワイヤレスデバイスを使用している場合は、オンになっているか、ペアリングされているか、接続されているかを確認します。サポートが必要な場合は、ワコムサポートにご連絡ください。
Layers/Brush size,レイヤー/ブラシサイズ
Limits the active area during display toggle.,マッピング画面切り替え時に読取可能範囲を制限します。
Touch keys,タッチキー
Press and hold the Bluetooth button on your pen tablet until the light starts blinking. The pen tablet is now in pairing mode.,ペンタブレットのBluetoothボタンをランプが点滅し始めるまで長押しします。これでペンタブレットはペアリングモードになりました。
Redo,やり直し
Advanced gestures,高度なジェスチャ
3090:05:00,5本
Confirm reset,リセットを確認する
"Your pen display has two Tablet buttons, one of which can be used as an ExpressKey. There are also two Touch keys next to the screen, as indicated in the image. You can adjust the settings of both on the Wacom Center ExpressKeys page.",ペンディスプレイには2つのペンタブレットボタンがあり、そのうちの1つはExpressKeyとして使用できます。 画像で示したとおり、画面の横に2つのタッチキーもあります。 ワコムセンターのExpressKeyページで両方の設定を調整できます。
"Wacom Center uses screen recording only to display thumbnail images for each display. For more details, review:",Wacom Center は、各ディスプレイのサムネイル画像を表示するためにのみ画面録画を使用します。詳細については、以下を参照してください:
Inset area,小さな領域
4001:40:00,マッピング画面切り替えの使い方をカスタマイズ
Swipe left/right,左右にスワイプ
ExpressKeys,ExpressKey
4001:163,Configure in mapping page
3001:19:00,%.1f°
Navigation,ナビゲーション
wacom bridge license & subscription information,Wacom Bridge ライセンスとサブスクリプション情報
About Wacom Center,Wacom Centerについて
4001:95,"Important Product Information: cautions, specifications, license and warranty for your wacom device "
Your Wacom device is no longer supported,お使いのワコムデバイスは現在サポートされていません。
Position:,位置：
"Limits the active area to 6 x 8 inches. It can be smaller if ""Force proportions"" is enabled.",入力エリアを15.24 x 20.32 cm（6 x 8インチ）に制限します。「小さな領域」が有効な場合は、これより小さくすることができます。
3090:02:00,2本
Zoom in,ズームイン
"Your device has two Touch keys, one on each side of the display, which function as ExpressKeys.",デバイスには2つのタッチキーがあり、ディスプレイの両側に1つずつあり、ExpressKeyとして機能します。
"Or visit Wacom Support to check whether an older driver for your device and operating system is available, and download it.",お使いのデバイスとOSで使用できる古いバージョンのタブレットドライバがある場合、ダウンロードしてご利用ください。古いバージョンのタブレットドライバは、ワコムサポートページでご確認いただけます。
Rename the currently selected preset settings group?,現在選択しているプリセットの設定グループの名前を変更しますか？
Scroll...,スクロール…
Click to register your device using your Wacom ID account. Unlock software offers that may be bundled with your device.,Wacom IDアカウントで、製品登録を行います。ソフトウェアが製品に同梱されている場合は、ロックを解除できます。
Then go to your computer's Bluetooth settings and select the Wacom tablet from the list to start pairing.,その後、パソコンのBluetooth設定で、リストからワコムタブレットを選択し、ペアリングを開始します。
Pen button mode,サイドスイッチモード
Paste,貼り付け
Pan/Scroll (legacy),スクロール/移動(レガシー)
3110:05:00,充電していません
"Would you like to apply the orientation ""Landscape""?",「横」向きを適用しますか？
Display toggle,マッピング画面切り替え
Touch Selective,Touch Selective
3001:06:00,Out
Tablet,タブレット
3001:21:00,オフ
Custom,ユーザー設定
Wheel...,ホイール…
Zoom out,ズームアウト
App shortcuts,アプリ ショートカット
Display %s,ディスプレイ %s
4001:143,タッチ機能： OFF
3110:02:00,バッテリーは %d%% 充電
Battery is %d%% full,%d%% 充電
4001:31:00,ディスプレイ 設定
3001:03:00,シリアル
Important: Battery charging,ご確認ください：電池充電について
3114:01:00,いいえ
Use the ExpressKeys to trigger your favorite keyboard shortcuts or other functions.,ExpressKeyは、割り当てたキーボードショートカットやその他の機能をすぐに利用することができます。
Swipe down,下にスワイプ
"To connect via Bluetooth, make sure the pen tablet is charged.",Bluetooth で接続する場合は、ペンタブレットが充電されていることを確認してください。
Normal,ノーマル
Try turning off your computer and turning it back on again.,コンピューターの電源を切ってから再起動してみてください。
Keyboard,キーボード
Right Buttons:,右側ボタン:
Rotate right,右回りに回転
Click the text field to assign a custom action to this gesture.,テキストフィールドをクリックして、このジェスチャにカスタムアクションを割り当てます。
Fit on Screen,画面サイズに 合わせる
WACOM_CENTER_NEWS_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/news/intuos-pro?wcLang=ja
3001:12:00,マウス
"Cautions, specifications, license and warranty for your Wacom device",ワコムデバイスの注意事項、仕様、ライセンス、保証
Skip,スキップ
Proximity:,読み取り高さ:
View tutorial videos for tips and tricks about using your pen with the software bundled with your device.,付属のソフトウェアでは、ペンを使う際のヒントやコツなどをチュートリアルビデオで見ることができます。
USB/Bluetooth selector,USB/Bluetooth セレクター
Please consider an upgrade to a newer Wacom product with improved features and functions.,より優れた性能と機能を持つ新しいワコム製品へのアップグレードをご検討ください。
4th click,第4ボタンクリック
"If that does not work, please contact Customer Support, and we can help.",これが動作しない場合、カスタマーサポートにお問い合わせください。
Display,画面
Left,左
Connected via Bluetooth,Bluetoothで接続
4001:41:00,マッピング画面切り替え設定
Pen display modifiers,Pen display修飾キー
Register your device for exclusive software offers.,デバイスを登録すると、特典のソフトウェアをお使いいただきます。
Eraser tool,消しゴムツール
Display toggle cycles your cursor between multiple screens and is only available for multi-screen setups.,マッピング画面切り替えは、複数の画面間でカーソルを循環させます。これは、複数の画面設定でのみ利用可能です。
3117:01:00,オフ
Wacom Bridge License Key,Wacom Bridge ライセンスキー
1380:00:00,時計回り90度
Click to make this the active Dial mode.,クリックすると、このダイヤルモードがアクティブになります。
New backup,バックアップの新規作成
Touch input,タッチ入力
Software offers,バンドルソフトウェア
Launch,起動
Touch ring,タッチホイール
Rotate,回転
Eraser pressure,テールスイッチの筆圧
Applications,アプリ
Three fingers,3本指
Layer up,レイヤーアップ
Your device is no longer supported,お使いのワコムデバイスは現在サポートされていません
4001:145,タッチパネルは、現在有効になっています。
Pen hover,ペンホバー
Recommended,推奨
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=ja&feedback=true
"Sets ExpressKeys, Touch rings, Dials and Rocker rings to ""Disabled"" for all currently connected devices.",現在接続されているすべてのデバイスのExpressKey、 Touch Ring、ダイヤル、および Rocker Ring を「無効」に設定します。
Please choose another name. The current name is already in use.,別の名前を選択してください。この名前はすでに使用されています。
Default,標準設定
Include or exclude all displays in the Display toggle cycle.,マッピング画面切り替えサイクルにすべての表示を含める、または除外します。
4001:70,リングキーの機能を変更します
Erase,消しゴム
Eraser sensitivity,テールスイッチ感度
Do you want to delete the selected preset settings group?,Do you want to delete the selected preset settings group?
Devices,デバイス
Rotate left,左回りに回転
"If you need assistance, please contact Wacom Support and we can help.",お困りなことがある場合は、ワコムサポートセンターにお問い合わせください。
3001:13:00,ペン
WACOM_CENTER_NEWS_WEBVIEW_DEV,"WACOM_CENTER_NEWS_WEBVIEW_DEV""

""WACOM_CENTER_LEARNING_WEBVIEW"" = ""WACOM_CENTER_LEARNING_WEBVIEW"
Enable or disable 1- and 2-finger gestures.,1本指、2本指タッチジェスチャーの有効／無効を設定します。
Use the pen to click on th3e Bottom Right corner of the Portion of Tablet area that you are selecting. Press Esc to cancel.,ペンを使って、タブレット領域の選択する部分の右下隅をクリックします。Escキーを押してキャンセルします。
Advanced,詳細設定
"All touch functions, including touch gestures, are enabled.",タッチジェスチャを含むすべてのタッチ機能が有効になります。
visit wacom's wacom bridge webpage for information and a link to submit feedback about wacom bridge.,Wacom Bridgeに関する情報とフィードバックのリンクは、ワコムウェブサイトのWacom Bridgeページでご確認いただけます。
Click here to dismiss this notice.,本通知を非表示するには、ここをクリックしてください。
Customized:,カスタマイズ：
Access User Help and other information.,オンラインマニュアルやその他の情報を確認できます。
Sensitivity,筆圧感度
Browse...,参照…
Welcome,ようこそ
Do you want to restore this backup?,バックアップを復元しますか？
"Select the application for which you want to customize tool settings. Choose an application from the list below, or click the Browse button to select any application installed on your computer.",ツールの設定をカスタマイズするアプリケーションを選択します。以下のリストからアプリケーションを選択するか、または「参照」ボタンをクリックしてコンピュータにインストールされている任意のアプリケーションを選択します。
Hover over a gesture to see an illustration of its movement.,ジェスチャーにカーソルを合わせると、その動作がイラストで表示されます。
Pan/Scroll (Legacy)...,スクロール/移動(レガシー)…
Import backup,バックアップをインポートする
Check software offers,Check software offers
"To turn the touch function on or off, use your device’s physical touch slider.",タッチ機能のオン／オフは、お使いのデバイスの物理タッチスライダーを使用して行います。
WACOM_CENTER_REGISTER_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/register-device?wcLang=ja&regMethod=%s
Disabled,無効
Cancel,キャンセル
Step Forward,１段階進む
Click,クリック
Soft,柔らかい
Trigger different functions by pressing a button on your pen while hovering above your device.,ペンをデバイスから少し浮かせた状態でペンのボタンを押すことで様々な機能を使用することができます。
Welcome to Wacom Center,Wacom Center（ワコムセンター）にようこそ
Pop-up notifications,ポップアップ通知
Cintiq Pro modifiers,Cintiq Pro修飾キー
Backup & restore settings,バックアップと復元の設定
Wacom screen keys,ワコムスクリーンキー
Access to exclusive software offers,限定ソフトウェアオファーへのアクセス
